teacher_name,teacher_category,student_type,mismatch_level,seed,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_f1,teacher_recall,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp,student_params,teacher_params
StandardMLP,MLP,StudentMLP,homomorphic,456,1.292,0.1,0.8379568021291841,0.8892210964195376,0.5589300640847032,0.42899914456800686,0.8605793837649708,0.9139140255736292,0.6705370101596516,0.592814371257485,0.7717149220489977,0.013577415355519235,0.3061711245130159,0.09723643670109126,0.009545053819198058,0.6705370101596516,0.592814371257485,0.9139140255736293,0.9224655628204346,36078,269262
StandardMLP,MLP,StudentAttention,heterogeneous,456,1.0,0.1,0.8379568021291841,0.8892210964195376,0.5589300640847032,0.42899914456800686,0.8627290408434845,0.9149258723455103,0.6857276775251934,0.625748502994012,0.7584240539139451,0.007568206138163727,0.3022169234610652,0.09647121740665063,0.0060462979482572106,0.6857276775251934,0.625748502994012,0.9149258435663422,0.9820824861526489,8594,269262
StandardMLP,MLP,StudentHybrid,heterogeneous,456,1.0,0.1,0.8379568021291841,0.8892210964195376,0.5589300640847032,0.42899914456800686,0.8618077592384072,0.914646455402247,0.6697651663405088,0.5855431993156544,0.7822857142857143,0.012427759777317155,0.3039022807907627,0.09668149256366054,0.012426536041381041,0.6697651663405088,0.5855431993156544,0.9146464554022471,1.0000184774398804,14743,269262
RegularizedMLP,MLP,StudentMLP,homomorphic,456,1.292,0.1,0.8581226328180981,0.909775581198178,0.6645692158760891,0.5872540633019675,0.860067560651039,0.9145400875968808,0.6638800098352594,0.5774165953806673,0.7807981492192019,0.014473967523386413,0.30501462157103976,0.09684574172515475,0.013725178631411344,0.6638800098352594,0.5774165953806673,0.9145400588177127,0.9755949974060059,36078,271310
RegularizedMLP,MLP,StudentAttention,heterogeneous,456,1.0,0.1,0.8581226328180981,0.909775581198178,0.6645692158760891,0.5872540633019675,0.860067560651039,0.9146843863458274,0.68053283477448,0.6227544910179641,0.7501287995878413,0.005326898707339457,0.3029383578284255,0.09679395884442804,0.004778033500516869,0.68053283477448,0.6227544910179641,0.9146844151249953,0.9747388958930969,8594,271310
RegularizedMLP,MLP,StudentHybrid,heterogeneous,456,1.0,0.2,0.8581226328180981,0.909775581198178,0.6645692158760891,0.5872540633019675,0.8607841130105436,0.914105435820786,0.6740172579098753,0.6013686911890505,0.7666303162486369,0.011892384519726754,0.3061108146233105,0.09702639347225624,0.011891770624947567,0.6740172579098753,0.6013686911890505,0.914105435820786,0.9999710917472839,14743,271310
DeepMLP,MLP,StudentMLP,homomorphic,456,1.292,0.1,0.8563824342307299,0.9056035227543644,0.6781371874283092,0.632164242942686,0.8584297266864571,0.9135753523232099,0.6751233262861169,0.6146278870829769,0.7488275143303804,0.008236066269229654,0.30602337769566684,0.09734921358814375,0.008695193224798475,0.6751233262861169,0.6146278870829769,0.9135753523232101,0.9521462321281433,36078,1978318
DeepMLP,MLP,StudentAttention,heterogeneous,456,1.0,0.1,0.8563824342307299,0.9056035227543644,0.6781371874283092,0.632164242942686,0.8606817483877572,0.9149428232755322,0.6817862988075754,0.6236099230111206,0.7519339865910263,0.004215221797914149,0.3025602850809771,0.09658893109391492,0.004092894084976598,0.6817862988075754,0.6236099230111206,0.914942823275532,0.9881941080093384,8594,1978318
DeepMLP,MLP,StudentHybrid,heterogeneous,456,1.0,0.1,0.8563824342307299,0.9056035227543644,0.6781371874283092,0.632164242942686,0.8637526870713481,0.9144529442758176,0.6870444392193745,0.6248930710008554,0.7629242819843342,0.007283591468461843,0.3034649911659734,0.09640970489931698,0.00589006450357085,0.6870444392193745,0.6248930710008554,0.9144529442758176,0.9781796932220459,14743,1978318
AutoInt,Attention,StudentMLP,heterogeneous,456,2.154,0.3,0.8468625243115979,0.8929529487078096,0.6470033034450212,0.586398631308811,0.8575084450813799,0.9111021281734357,0.667621776504298,0.5979469632164243,0.7556756756756757,0.006519061677697097,0.309612865167477,0.09824481266938037,0.006801833908584307,0.667621776504298,0.5979469632164243,0.9111021281734357,0.979407548904419,36078,17666
AutoInt,Attention,StudentAttention,homomorphic,456,2.783,0.1,0.8468625243115979,0.8929529487078096,0.6470033034450212,0.586398631308811,0.8617053946156208,0.9145043438700774,0.6820428336079077,0.6197604790419161,0.7582417582417582,0.0076079885733217265,0.3027595030018794,0.09650009044742519,0.0070092719256472135,0.6820428336079077,0.6197604790419161,0.9145043726492456,0.980316162109375,8594,17666
AutoInt,Attention,StudentHybrid,heterogeneous,456,5.995,0.1,0.8468625243115979,0.8929529487078096,0.6470033034450212,0.586398631308811,0.8632408639574163,0.9148674794133976,0.6854990583804144,0.6227544910179641,0.762303664921466,0.006935618564979189,0.30382047236330656,0.09626046993786971,0.00522545697765263,0.6854990583804144,0.6227544910179641,0.9148674794133976,0.9746911525726318,14743,17666
FTTransformer,Attention,StudentMLP,heterogeneous,456,3.594,0.5,0.8449175964786569,0.8985391291354659,0.6527618611047444,0.6090675791274593,0.8558706111167981,0.910174057559948,0.6716417910447762,0.6159110350727117,0.7384615384615385,0.007704584526117561,0.3131498364829371,0.0996143338035785,0.007763768283446077,0.6716417910447762,0.6159110350727117,0.910174057559948,1.022613286972046,36078,54882
